Date,Description,Amount,Currency
2024-01-15,Client Payment - Project Alpha,5000.00,GBP
2024-01-16,Office Rent,-1200.00,GBP
2024-01-17,Software Subscription - Adobe,-29.99,GBP
2024-01-18,Client Payment - Project Beta,3000.00,GBP
2024-01-19,Internet Bill,-45.00,GBP
2024-01-20,Consulting Fee,1500.00,GBP
2024-01-21,Equipment Purchase,-850.00,GBP
2024-01-22,Client Payment - Project Gamma,4000.00,GBP
2024-01-23,Marketing Expenses,-320.00,GBP
2024-01-24,Refund - Cancelled Service,150.00,GBP
2024-01-25,Utilities,-180.00,GBP
2024-01-26,Client Payment - Project Delta,2500.00,GBP
2024-01-27,Travel Expenses,-450.00,GBP
2024-01-28,Professional Services Fee,2000.00,GBP
2024-01-29,Office Supplies,-125.00,GBP
2024-01-30,Client Payment - Project Epsilon,3500.00,GBP
